ref_slug,ref_current_name,ref_parish_priest,name,dedication,deanery,is_shrine,address_line1,address_line2,city,district,pincode,latitude,longitude,phone,email,established_year
adyar,Adyar,S X Amalraj,Adyar,,,no,,,Chennai,Chennai,,13.00645,80.2577791,,,
ambattur,Ambattur,MLA Maria John Bosco,Ambattur,,,no,,,Chennai,Thiruvallur,,13.1055654,80.1639586,,,
anna-nagar,Anna Nagar,,Anna Nagar,,,no,,,Chennai,Thiruvallur,,13.2073706,80.3150292,,,
avadi,Avadi,,Avadi,,,no,,,Avadi,Thiruvallur,,13.1190144,80.0935726,,,
besant-nagar,Besant Nagar,,Besant Nagar,,,no,Annai Velankanni Road,Zone 13 Adyar,Chennai,Chennai,600090,12.9951775,80.2700337,,,
bharathiyar-nagar,Bharathiyar Nagar,B Stephen,Bharathiyar Nagar,,,no,,,Chennai,Thiruvallur,,13.1858089,80.3155515,,,
chinmaya-nagar,Chinmaya Nagar,,Chinmaya Nagar,,,no,,,Chennai,Chennai,,13.0622141,80.1991841,,,
chintadripet,Chintadripet,Antony Doss L,Chintadripet,,,no,,,Chennai,Chennai,,13.0761258,80.270781,,,
choolai,Choolai,P A Francis Xavier,Choolai,,,no,,,Chennai,Chennai,,13.0906283,80.2621417,,,
egmore,Egmore,,Egmore,,,no,"25, Pantheon Road",Zone 5 Royapuram,Chennai,Chennai,600008,13.0728321,80.2576906,,,
erukkanchery,Erukkanchery,,Erukkanchery,,,no,,,,,,,,,,
gandhi-nagar,Gandhi Nagar,Jude Pragasam,Gandhi Nagar,,,no,,,Chennai,Chennai,,13.0412679,80.1871827,,,
george-town,George Town,,George Town,Assumption,,no,,,Chennai,Chennai,,13.0920917,80.2822426,,,
guindy,Guindy,D Andrew,Guindy,,,no,,,Chennai,Chennai,,13.0087095,80.2203646,,,
gummidipoondi,Gummidipoondi,K M Allwin,Gummidipoondi,,,no,,,Chennai,Thiruvallur,,13.4308848,80.0821379,,,
k-g-kandigai,K G Kandigai,L Dyson Raja Rathinam,K G Kandigai,,,no,,,,,,,,,,
kamaraj-nagar,Kamaraj Nagar,,Kamaraj Nagar,,,no,,,Chennai,Chennai,,12.9942424,80.2569278,,,
kasimode,Kasimode,,Kasimode,,,no,,,,,,,,,,
kilpauk,Kilpauk,,Kilpauk,,,no,,,Chennai,Chennai,,13.0832149,80.2379864,,,
kodambakkam,Kodambakkam,,Kodambakkam,,,no,Trustpuram 2nd Main Road,Zone 9 Teynampet,Chennai,Chennai,600024,13.049207,80.2242829,,,
lakshmipuram,Lakshmipuram,G A Arulappan,Lakshmipuram,,,no,,,Chennai,Chennai,,12.9873405,80.2205949,,,
little-mount,Little Mount,,Little Mount,,,no,LDG Road,Zone 13 Adyar,Chennai,Chennai,600015,13.0162508,80.2271123,,,
luz,Luz,,Luz,,,no,Kennedy 2nd Street,Zone 9 Teynampet,Chennai,Chennai,600004,13.0382078,80.2623481,,,
maduravoyal,Maduravoyal,Balasamy M,Maduravoyal,,,no,,,Chennai,Thiruvallur,,13.060603,80.1660878,,,
minjur,Minjur,Joseph Albert,Minjur,,,no,,,Chennai,Thiruvallur,,13.2786146,80.2577671,,,
muthapudupet,Muthapudupet,,Muthapudupet,,,no,,,,,,,,,,
nammalwarpet,Nammalwarpet,Geo Patrick,Nammalwarpet,,,no,,,,,,,,,,
nazareth-nagar,Nazareth Nagar,,Nazareth Nagar,,,no,,,,,,,,,,
nesapakkam,Nesapakkam,,Nesapakkam,,,no,,,Chennai,Chennai,,13.0336193,80.1873092,,,
nungambakkam,Nungambakkam,,Nungambakkam,,,no,,,Chennai,Chennai,,13.0620626,80.240487,,,
our-lady-of-visitation-church,Our Lady of Visitation Church,,Our Lady of Visitation Church,Our Lady of the Visitation,,no,,,Chennai,Chennai,,,,,,
pattabiram,Pattabiram,,Pattabiram,,,no,,,Avadi,Thiruvallur,,13.1247326,80.0669791,,,
peravallur,Peravallur,,Peravallur,,,no,,,,,,,,,,
porur,Porur,Patrick I Joseph,Porur,,,no,,,Chennai,Thiruvallur,,13.0320131,80.158304,,,
puzhal,Puzhal,,Puzhal,,,no,,,Chennai,Thiruvallur,,13.1591141,80.2031147,,,
raja-annamalaipuram,Raja Annamalaipuram,,Raja Annamalaipuram,,,no,,,,,,,,,,
roshanagaram,Roshanagaram,Christhu Raj O J,Roshanagaram,,,no,,,,,,,,,,
royapettah,Royapettah,Perianagaya Irudayaraj,Royapettah,,,no,,,Chennai,Chennai,,13.0554718,80.2639706,,,
royapuram,Royapuram,,Royapuram,Mater Dol,,no,,,Chennai,Chennai,,13.1146195,80.2940279,,,
san-thome-cathedral-basilica,San Thome Cathedral Basilica,,San Thome Cathedral Basilica,St Thomas the Apostle,,yes,"12, Rosary Church Road",Santhome,Chennai,Chennai,600004,13.0335889,80.2777851,,,
sastri-nagar,Sastri Nagar,,Sastri Nagar,,,no,,,Chennai,Chennai,,12.9778151,80.2276789,,,
sathyamoorthy-nagar,Sathyamoorthy Nagar,,Sathyamoorthy Nagar,,,no,,,,,,,,,,
