ref_parish_name,parish_slug,kind,day,time,language,note
Adyar,adyar,mass,,,,
Ambattur,ambattur,mass,,,,
Anna Nagar,anna-nagar,mass,,,,
Avadi,avadi,mass,,,,
Besant Nagar,besant-nagar,mass,,,,
Bharathiyar Nagar,bharathiyar-nagar,mass,,,,
Chinmaya Nagar,chinmaya-nagar,mass,,,,
Chintadripet,chintadripet,mass,,,,
Choolai,choolai,mass,,,,
Egmore,egmore,mass,,,,
Erukkanchery,erukkanchery,mass,,,,
Gandhi Nagar,gandhi-nagar,mass,,,,
George Town,george-town,mass,,,,
Guindy,guindy,mass,,,,
Gummidipoondi,gummidipoondi,mass,,,,
K G Kandigai,k-g-kandigai,mass,,,,
Kamaraj Nagar,kamaraj-nagar,mass,,,,
Kasimode,kasimode,mass,,,,
Kilpauk,kilpauk,mass,,,,
Kodambakkam,kodambakkam,mass,,,,
Lakshmipuram,lakshmipuram,mass,,,,
Little Mount,little-mount,mass,,,,
Luz,luz,mass,,,,
Maduravoyal,maduravoyal,mass,,,,
Minjur,minjur,mass,,,,
Muthapudupet,muthapudupet,mass,,,,
Nammalwarpet,nammalwarpet,mass,,,,
Nazareth Nagar,nazareth-nagar,mass,,,,
Nesapakkam,nesapakkam,mass,,,,
Nungambakkam,nungambakkam,mass,,,,
Our Lady of Visitation Church,our-lady-of-visitation-church,mass,,,,
Pattabiram,pattabiram,mass,,,,
Peravallur,peravallur,mass,,,,
Porur,porur,mass,,,,
Puzhal,puzhal,mass,,,,
Raja Annamalaipuram,raja-annamalaipuram,mass,,,,
Roshanagaram,roshanagaram,mass,,,,
Royapettah,royapettah,mass,,,,
Royapuram,royapuram,mass,,,,
San Thome Cathedral Basilica,san-thome-cathedral-basilica,mass,,,,
Sastri Nagar,sastri-nagar,mass,,,,
Sathyamoorthy Nagar,sathyamoorthy-nagar,mass,,,,
Sevvapet,sevvapet,mass,,,,
Srinivasa Nagar,srinivasa-nagar,mass,,,,
St Mark’s Catholic Church,st-marks-catholic-church,mass,,,,
St. Louis Church,st-louis-church,mass,,,,
Susaipuram,susaipuram,mass,,,,
Thiruvalangadu,thiruvalangadu,mass,,,,
Thiruvottiyur,thiruvottiyur,mass,,,,
Thozhudavur,thozhudavur,mass,,,,
Tondiarpet,tondiarpet,mass,,,,
Uthukottai,uthukottai,mass,,,,
Velachery,velachery,mass,,,,
Vepery,vepery,mass,,,,
Veppampattu,veppampattu,mass,,,,
Villivakkam,villivakkam,mass,,,,
