ref_slug,ref_name,ref_current_assignment,deanery
a-amal-raj,A Amal Raj,Diocesan Parish Priest,
a-antony-jerald,A Antony Jerald,"Assistant Parish Priest, Little Mount",
a-j-thomas-antony,A J Thomas Antony,"Assistant Parish Priest, Thiruvottiyur",
a-john-andrew,A John Andrew,"Parish Priest, Susaipuram",
a-johnson,A Johnson,"Parish Priest, Veppampattu",
a-maria-devanesan,A Maria Devanesan,Catechetical Commission; Family Commission,
a-maria-soosai,A Maria Soosai,"Assistant Parish Priest, Srinivasa Nagar",
a-mariya-prem-anbarasan,A Mariya Prem Anbarasan,Youth Commission,
a-micheal-andrews,A Micheal Andrews,"Assistant Parish Priest, Sastri Nagar",
a-premraj,A Premraj,Bible Commission,
a-ritchie-vincent,A Ritchie Vincent,Assistant to Director — Pastoral Centre,
albert-benedict-nathan-r,Albert Benedict Nathan R,Diocesan Parish Priest,
albert-jude-j,Albert Jude J,Diocesan Parish Priest,
alexander-a,Alexander A,Diocesan Asst Parish Priest,
ambrose-c-c,Ambrose C C,Diocesan Parish Priest,
andrew-dominic,Andrew Dominic,Diocesan Parish Priest,
anthony-b,Anthony B,Seafarers Welfare Association,
anthony-raj-b-i,Anthony Raj B I,Diocesan Parish Priest,
anthony-raj-t,Anthony Raj T,Diocesan Parish Priest,
anthony-raj-v,Anthony Raj V,Diocesan Parish Priest,
anthonysamy-g-j,Anthonysamy G J,Diocesan Parish Priest,
antony-doss-l,Antony Doss L,"Parish Priest, Chintadripet",
antony-lawrence-jdh,Antony Lawrence JDH,"Assistant Parish Priest, Puzhal",
antony-pancras,Antony Pancras,On leave,
arokia-velankanni-stalin,Arokia Velankanni Stalin,Diocesan Parish Priest,
arokiaraj-r,Arokiaraj R,Diocesan Parish Priest,
arokiaraj-y-s,Arokiaraj Y S,Diocesan Parish Priest,
arputhasamy-m-s,Arputhasamy M S,,
arul-jesu-doss-k,Arul Jesu Doss K,Diocesan Parish Priest,
arul-raj-d,Arul Raj D,Diocesan Parish Priest,
arul-selvam-d,Arul Selvam D,Diocesan Parish Priest,
arulappa-e,Arulappa E,Diocesan Parish Priest,
